adj. using a system of electronic signals to send or receive information,digital /ˈdɪdʒɪtl/
adj. having the usual qualities or features of a particular type of person or group；(of somebody / something) behaving in the way that you expect,typical /ˈtɪpɪkl/
"n. a thing that happens, especially something important",event /ɪˈvent/
prep. used with a verb to express movement on or to a particular place,onto /ˈɒntə/
n. 12 o’clock at night,midnight /ˈmɪdnaɪt/
n. the normal order in which you regularly do things,routine /ruːˈtiːn/
"n. a part of a film, play or book in which the action happens in one place or is of one particular type；the place where something happens, especially something unpleasant",scene /siːn/
v. to get money in return for labour or services,earn /ɜːn/
n. the end of life,death /deθ/
"n. a small round piece of metal, plastic, etc. sewn onto a piece of clothing",button /ˈbʌtn/
n. a kind of thing or person,type /taɪp/
adj. being the only one of its kind,unique /juˈniːk/
v. to say or do something in reply,respond /rɪˈspɒnd/
v. to choose from a group,select /sɪˈlekt/
n. an organized group of people with a particular purpose,organization /ˌɔːɡənaɪˈzeɪʃn/
n. an aim,goal /ɡəʊl/
n. a person that one is doing an activity with；a person that one is married to；v. to work with,partner /ˈpɑːtnə(r)/
v. to (make something / somebody) become better than before,improve /ɪmˈpruːv/
adv. at the present time,currently /ˈkʌrəntli/
n. a plan that lists all the work you have to do,schedule /ˈʃedjuːl/
n. a formal meeting,conference /ˈkɒnfərəns/
n. the standard of something as measured against other things of a similar kind,quality /ˈkwɒləti/
v. to bring or hand over something to somebody,deliver /dɪˈlɪvə(r)/
"v. to give somebody the desire, confidence or enthusiasm to do something well",inspire /ɪnˈspaɪə(r)/
n. a small piece of advice about something practical,tip /tɪp/
v. to gain something by your own efforts,acquire /əˈkwaɪə(r)/
n. difficulty in a way that tests your ability,challenge /ˈtʃælɪndʒ/
n. a person who does a job without being paid for it；v. to offer to do something without being forced or being paid for it,volunteer /ˌvɒlənˈtɪə(r)/
n. a place where something happens or exists,location /ləʊˈkeɪʃn/
n. the amount of time that something lasts,length /leŋθ/
"n. a form of energy for heating, lighting or powering a machine",electricity /ɪˌlekˈtrɪsəti/
n. things that are needed for an activity such as learning and teaching,material /məˈtɪəriəl/
adj. having a higher level in a school；n. older person,senior /ˈsiːniə(r)/
adj. having a lower level in a school,junior /ˈdʒuːniə(r)/
"n. the power or right to act, speak, or think as one wants",freedom /ˈfriːdəm/
"n. (also dormitory) a room for several people to sleep in, especially in a school or institution",dorm /dɔːm/
"n. a particular part of a situation, a thing, an idea, or a problem",aspect /ˈæspekt/
n. an examination of something in order to find out about it,exploration /ˌekspləˈreɪʃn/
"v. to prepare a piece of writing, a book, etc. to be published by correcting the mistakes",edit /ˈedɪt/
adj. specific (member of a group or class),particular /pəˈtɪkjələr/
n. essential part of something,element /ˈelɪmənt/
n. the way that somebody behaves,behaviour /bɪˈheɪvjə(r)/
adj. connected with something / somebody in some way,related /rɪˈleɪtɪd/
"n. a lamp which may be carried or hung, often used in Chinese culture",lantern /ˈlæntən/
"n. a belief, custom or way of doing something that has existed for a long time among a particular group of people",tradition /trəˈdɪʃn/
v. to show one’s attitude or feeling,reflect /rɪˈflekt/
n. the way that you think and feel about somebody / something,attitude /ˈætɪtjuːd/
n. a feeling of deep admiration for somebody / something,respect /rɪˈspekt/
"n. a spoken or written explanation of a person, object or event",description /dɪˈskrɪpʃn/
"a short film or recording of an event, made using digital technology and viewed on a screen",video clip
"a container storing a selection of objects chosen as being typical of the present time, buried for discovery in the future",time capsule
as a total,in all
a large plastic ring that you spin around your waist by moving your hips,hula hoop
having a lot of money,well off
to like somebody / something very much; be very interested in,be keen on
a thick sheet of paper,paper towel
to feel shame or embarrassment about,be ashamed of
as the representative of,on behalf of
to describe or be connected to somebody / something,refer to
a decorative handicraft that began as a form of Chinese folk art in the Tang and Song Dynasties,Chinese knot
a long narrow boat of traditional Chinese design that is decorated to look like a dragon and used for racing,dragon boat
